Quality,MSE,MAE,FileSize_KB,CompressionRatio
10,124.48202080118313,8.371236014660493,14.7109375,82.59160913436007
20,76.52711226851852,6.468066808127572,23.271484375,52.20981955518254
30,60.04839972350823,5.701971611368313,30.7958984375,39.453305850642145
40,51.459013310185185,5.276181520061728,37.12890625,32.72382956338769
50,45.70795074588477,4.977588091563786,43.2197265625,28.11216304765348
60,40.89759436085391,4.7145696694958845,49.9638671875,24.317573246291264
70,35.49512120627572,4.398982445987654,60.0166015625,20.244398522544216
80,29.323247010030865,4.012481513631688,76.861328125,15.807689375651158
90,20.848091885288067,3.402395190329218,119.5751953125,10.160970231532525
95,14.293268550668724,2.817974376286008,183.984375,6.603821656050956
